time,total
Thu Dec 15 15:04:08 EST 2016,0m7.336s
Thu Dec 15 15:12:09 EST 2016,0m7.237s
Thu Dec 15 15:27:08 EST 2016,0m7.586s
Thu Dec 15 15:34:08 EST 2016,0m7.230s
Thu Dec 15 15:46:08 EST 2016,0m7.378s
Thu Dec 15 15:58:08 EST 2016,0m7.426s
Thu Dec 15 16:04:09 EST 2016,0m7.499s
Thu Dec 15 16:12:09 EST 2016,0m7.583s
Thu Dec 15 16:27:08 EST 2016,0m7.292s
Thu Dec 15 16:34:08 EST 2016,0m7.535s
Thu Dec 15 16:46:08 EST 2016,0m7.502s
Thu Dec 15 16:58:09 EST 2016,0m7.690s
Thu Dec 15 17:04:08 EST 2016,0m7.475s
Thu Dec 15 17:12:09 EST 2016,0m7.576s
Thu Dec 15 17:27:08 EST 2016,0m7.451s
Thu Dec 15 17:34:09 EST 2016,0m7.454s
Thu Dec 15 17:46:09 EST 2016,0m7.554s
Thu Dec 15 17:58:08 EST 2016,0m7.597s
Thu Dec 15 18:04:17 EST 2016,0m15.563s
Thu Dec 15 18:12:09 EST 2016,0m7.684s
Thu Dec 15 18:27:08 EST 2016,0m7.408s
Thu Dec 15 18:34:09 EST 2016,0m7.558s
Thu Dec 15 18:46:08 EST 2016,0m7.377s
Thu Dec 15 18:58:09 EST 2016,0m7.612s
Thu Dec 15 19:04:08 EST 2016,0m7.705s
Thu Dec 15 19:12:08 EST 2016,0m7.505s
Thu Dec 15 19:27:09 EST 2016,0m7.495s
Thu Dec 15 19:34:08 EST 2016,0m7.417s
Thu Dec 15 19:46:09 EST 2016,0m7.555s
Thu Dec 15 19:58:08 EST 2016,0m7.553s
Thu Dec 15 20:04:09 EST 2016,0m7.458s
Thu Dec 15 20:12:08 EST 2016,0m7.535s
Thu Dec 15 20:27:10 EST 2016,0m7.949s
Thu Dec 15 20:34:08 EST 2016,0m7.544s
Thu Dec 15 20:46:08 EST 2016,0m7.562s
Thu Dec 15 20:58:09 EST 2016,0m7.681s
Thu Dec 15 21:04:09 EST 2016,0m7.970s
Thu Dec 15 21:12:09 EST 2016,0m7.683s
Thu Dec 15 21:27:09 EST 2016,0m8.308s
Thu Dec 15 21:34:09 EST 2016,0m7.540s
Thu Dec 15 21:46:09 EST 2016,0m7.649s
Thu Dec 15 21:58:09 EST 2016,0m8.388s
Thu Dec 15 22:04:09 EST 2016,0m7.869s
Thu Dec 15 22:12:09 EST 2016,0m7.485s
Thu Dec 15 22:27:08 EST 2016,0m7.490s
Thu Dec 15 22:34:09 EST 2016,0m7.477s
