time,total
Thu Dec 15 18:34:01 EST 2016,0m0.064s
Thu Dec 15 18:46:01 EST 2016,0m0.080s
Thu Dec 15 18:58:01 EST 2016,0m0.066s
Thu Dec 15 19:04:01 EST 2016,0m0.053s
Thu Dec 15 19:12:01 EST 2016,0m0.071s
Thu Dec 15 19:27:01 EST 2016,0m0.079s
Thu Dec 15 19:34:01 EST 2016,0m0.066s
Thu Dec 15 19:46:01 EST 2016,0m0.072s
Thu Dec 15 19:58:01 EST 2016,0m0.057s
Thu Dec 15 20:04:01 EST 2016,0m0.088s
Thu Dec 15 20:12:01 EST 2016,0m0.208s
Thu Dec 15 20:27:02 EST 2016,0m0.504s
Thu Dec 15 20:34:01 EST 2016,0m0.062s
Thu Dec 15 20:46:01 EST 2016,0m0.062s
Thu Dec 15 20:58:01 EST 2016,0m0.076s
Thu Dec 15 21:04:01 EST 2016,0m0.071s
Thu Dec 15 21:12:01 EST 2016,0m0.063s
Thu Dec 15 21:27:01 EST 2016,0m0.110s
Thu Dec 15 21:34:01 EST 2016,0m0.068s
Thu Dec 15 21:46:01 EST 2016,0m0.064s
Thu Dec 15 21:58:01 EST 2016,0m0.063s
Thu Dec 15 22:04:01 EST 2016,0m0.063s
Thu Dec 15 22:12:01 EST 2016,0m0.066s
Thu Dec 15 22:27:01 EST 2016,0m0.078s
Thu Dec 15 22:34:01 EST 2016,0m0.073s
Thu Dec 15 22:46:01 EST 2016,0m0.072s
Thu Dec 15 22:58:01 EST 2016,0m0.058s
Thu Dec 15 23:04:01 EST 2016,0m0.078s
Thu Dec 15 23:12:01 EST 2016,0m0.118s
Thu Dec 15 23:27:01 EST 2016,0m0.083s
Thu Dec 15 23:34:01 EST 2016,0m0.072s
Thu Dec 15 23:46:01 EST 2016,0m0.074s
Thu Dec 15 23:58:01 EST 2016,0m0.057s
Fri Dec 16 00:04:02 EST 2016,0m0.073s
Fri Dec 16 00:12:01 EST 2016,0m0.070s
Fri Dec 16 00:27:01 EST 2016,0m0.062s
Fri Dec 16 00:34:01 EST 2016,0m0.063s
Fri Dec 16 00:46:01 EST 2016,0m0.058s
Fri Dec 16 00:58:01 EST 2016,0m0.057s
Fri Dec 16 01:04:01 EST 2016,0m0.071s
Fri Dec 16 01:12:01 EST 2016,0m0.066s
Fri Dec 16 01:27:01 EST 2016,0m0.056s
Fri Dec 16 01:34:01 EST 2016,0m0.066s
Fri Dec 16 01:46:01 EST 2016,0m0.066s
Fri Dec 16 01:58:01 EST 2016,0m0.061s
Fri Dec 16 02:04:01 EST 2016,0m0.083s
Fri Dec 16 02:12:01 EST 2016,0m0.073s
Fri Dec 16 02:27:01 EST 2016,0m0.075s
Fri Dec 16 02:34:01 EST 2016,0m0.060s
Fri Dec 16 02:46:01 EST 2016,0m0.061s
Fri Dec 16 02:58:01 EST 2016,0m0.067s
Fri Dec 16 03:04:01 EST 2016,0m0.069s
Fri Dec 16 03:12:01 EST 2016,0m0.059s
Fri Dec 16 03:27:01 EST 2016,0m0.073s
Fri Dec 16 03:34:01 EST 2016,0m0.072s
Fri Dec 16 03:46:01 EST 2016,0m0.055s
Fri Dec 16 03:58:01 EST 2016,0m0.070s
Fri Dec 16 04:04:01 EST 2016,0m0.064s
Fri Dec 16 04:12:01 EST 2016,0m0.071s
Fri Dec 16 04:27:01 EST 2016,0m0.070s
Fri Dec 16 04:34:01 EST 2016,0m0.119s
Fri Dec 16 04:46:01 EST 2016,0m0.053s
Fri Dec 16 04:58:01 EST 2016,0m0.068s
Fri Dec 16 05:04:01 EST 2016,0m0.063s
Fri Dec 16 05:12:01 EST 2016,0m0.061s
Fri Dec 16 05:27:01 EST 2016,0m0.082s
Fri Dec 16 05:34:01 EST 2016,0m0.067s
